day,unfinished task (expected),unfinished task (actual),tasks compeleted
2019/3/21,55,55,0
2019/3/22,53.03571429,55,0
2019/3/23,51.07142857,55,0
2019/3/24,49.10714286,53,2
2019/3/25,47.14285714,51,2
2019/3/26,45.17857143,50,1
2019/3/27,43.21428571,46,4
2019/3/28,41.25,45,1
2019/3/29,39.28571429,45,0
2019/3/30,37.32142857,39,6
2019/3/31,35.35714286,33,6
2019/4/1,33.39285714,28,5
2019/4/2,31.42857143,26,2
2019/4/3,29.46428571,25,1
2019/4/4,27.5,23,2
2019/4/5,25.53571429,23,0
2019/4/6,23.57142857,22,1
2019/4/7,21.60714286,22,0
2019/4/8,19.64285714,20,2
2019/4/9,17.67857143,20,0
2019/4/10,15.71428571,12,8
2019/4/11,13.75,11,1
2019/4/12,11.78571429,10,1
2019/4/13,9.821428571,10,0
2019/4/14,7.857142857,8,2
2019/4/15,5.892857143,6,2
2019/4/16,3.928571429,5,1
2019/4/17,1.964285714,4,1
2019/4/18,0,0,4

